Node Type,name,single,release_date,genre,notable,id,written_date,stage_name,notoriety_date,release_year,grau_saida,grau_entrada,grau_total
RecordLabel,Kamiogawa Rhythms,,,,,218,,,,,0,157,157
Person,Borys Kościk,,,,,223,,,,,16,0,16
RecordLabel,Garenne Sound,,,,,232,,,,,0,17,17
RecordLabel,Arrondissement Records,,,,,238,,,,,0,27,27
RecordLabel,Inflected,,,,,244,,,,,0,18,18
Song,Sunbeams of Joy Cascading,True,2010,Emo/Pop Punk,True,249,,,,2010.0,7,8,15
Person,Mareen Schacht,,,,,250,,,,,18,0,18
RecordLabel,Prismatic Echo,,,,,256,,,,,0,15,15
RecordLabel,Mate Melody,,,,,270,,,,,0,46,46
RecordLabel,Sorgue Sonics,,,,,271,,,,,0,19,19
RecordLabel,Eastern Flight Records,,,,,278,,,,,0,21,21
Song,Unbreakable Bond,True,2029,Dream Pop,True,283,,,2029,2029.0,6,8,14
RecordLabel,Northern Apex Records,,,,,291,,,,,0,17,17
Song,Roots and Horizons,True,2013,Indie Folk,True,298,,,,2013.0,3,17,20
Person,Corinna Gute,,,,,303,,,,,15,0,15
Person,Belinda Knappe,,,,,304,,,,,19,0,19
Person,Bekir Bruder,,,,,305,,,,,18,0,18
RecordLabel,Riverflow Records,,,,,306,,,,,0,23,23
RecordLabel,MTJ Harmony,,,,,320,,,,,0,36,36
RecordLabel,Archival Resonance Records,,,,,342,,,,,0,51,51
RecordLabel,New York Harmony,,,,,357,,,,,0,26,26
RecordLabel,Singleton Groove,,,,,363,,,,,0,29,29
RecordLabel,Wilderness Frequency,,,,,370,,,,,0,31,31
Person,Leyla Graf-Gotthard,,,,,405,,,,,28,0,28
RecordLabel,Heritage Sound Studios,,,,,406,,,,,0,22,22
RecordLabel,Gagnef Groove,,,,,416,,,,,0,17,17
RecordLabel,Sanctuary Pulse,,,,,418,,,,,0,31,31
RecordLabel,Foreign Affairs Recordings,,,,,437,,,,,0,28,28
Song,Parisian Shadows on the Hill,True,2010,Dream Pop,True,438,,,2010,2010.0,1,37,38
RecordLabel,Adra Amplify,,,,,444,,,,,0,69,69
Album,Twilight at Saint-Genevieve,,2017,Psychedelic Rock,True,445,2017,,,2017.0,2,38,40
Song,Celestial Blueprints,True,1998,Synthwave,True,454,1998,,,1998.0,2,15,17
RecordLabel,Crossroads & Highways,,,,,460,,,,,0,20,20
Song,Divine Architecture,True,2020,Post-Apocalyptic Folk,True,467,,,,2020.0,3,17,20
RecordLabel,Stage Collective Records,,,,,477,,,,,0,21,21
RecordLabel,Monticello Sound,,,,,488,,,,,0,39,39
RecordLabel,Campania Soundworks,,,,,509,,,,,0,14,14
RecordLabel,Sketch Sonic,,,,,514,,,,,0,45,45
Album,Rough Schematic,,2023,Dream Pop,True,533,2020,,,2023.0,3,12,15
RecordLabel,Latium Sonics,,,,,541,,,,,0,14,14
RecordLabel,Verdana Sounds,,,,,549,,,,,0,30,30
Person,Szymon Pyć,,,,,551,,,,,49,0,49
RecordLabel,Phantom Trace,,,,,552,,,,,0,38,38
RecordLabel,Harmonic Capital Recordings,,,,,568,,,,,0,42,42
RecordLabel,Alta Cascata,,,,,575,,,,,0,55,55
RecordLabel,Devotional Pulse Records,,,,,596,,,,,0,14,14
Song,Silent Chronology,True,2028,Dream Pop,True,600,2028,,,2028.0,6,10,16
Song,Steep and Ancestral,False,2014,Indie Folk,True,611,2014,,,2014.0,5,10,15
Person,Tao Yang,,,,,617,,,,,18,0,18
RecordLabel,99Ascent,,,,,620,,,,,0,98,98
Song,Brewing Heritage,True,2012,Alternative Rock,True,632,,,,2012.0,3,11,14
RecordLabel,Echoes of Seoul,,,,,635,,,,,0,21,21
Album,Whispers to Steven,,2010,Darkwave,True,642,2010,,,2010.0,3,11,14
RecordLabel,Rockville Records,,,,,652,,,,,0,40,40
RecordLabel,Nebeský Tón,,,,,671,,,,,0,24,24
Song,Paternal Echoes,True,2023,Doom Metal,True,673,,,,2023.0,3,12,15
Person,Yong Zheng,,,,,697,,,,,28,0,28
RecordLabel,Sonora Liminal,,,,,698,,,,,0,22,22
RecordLabel,Equatorial Echo,,,,,728,,,,,0,19,19
RecordLabel,Archival Imprints,,,,,743,,,,,0,38,38
RecordLabel,Svadhyaya Sangeet Prakashan,,,,,744,,,,,0,42,42
RecordLabel,Empoli Echo,,,,,745,,,,,0,44,44
RecordLabel,Sovereign Sound Studios,,,,,749,,,,,0,43,43
RecordLabel,Lilnuaj,,,,,756,,,,,0,23,23
Song,Whispers in Mother's Arms,True,2022,Indie Folk,True,773,2022,,,2022.0,8,6,14
Album,Silence Between Heartbeats,,2028,Space Rock,True,810,2028,,2028,2028.0,3,12,15
Song,When Pigs Fly,True,2006,Lo-Fi Electronica,True,827,,,,2006.0,5,50,55
Song,Diamond Dreams,True,2023,Doom Metal,True,842,,,,2023.0,7,7,14
RecordLabel,Second Wave Collective,,,,,851,,,,,0,26,26
Song,Clarity and Carats,False,2028,Space Rock,True,852,2024,,,2028.0,4,15,19
Person,Jing Kang,,,,,878,,,,,24,0,24
RecordLabel,Verdant Horizon,,,,,879,,,,,0,48,48
RecordLabel,Haute-Corse Records,,,,,884,,,,,0,30,30
Album,Shadows of Masculinity,,2020,Desert Rock,True,892,,,,2020.0,3,11,14
RecordLabel,Urban Artifact Sound,,,,,911,,,,,0,30,30
Album,Shifting Horizons,,2017,Psychedelic Rock,True,917,,,,2017.0,14,8,22
Song,Crossroads of Change,True,1998,Dream Pop,True,933,,,,1998.0,3,15,18
RecordLabel,Eternal Horizon Studios,,,,,938,,,,,0,23,23
RecordLabel,Cooltempo Collective,,,,,939,,,,,0,22,22
Album,Emociones en Color (Emotions in Color),,2025,Dream Pop,True,951,,,,2025.0,5,12,17
Song,Strings of Silence,False,2003,Lo-Fi Electronica,True,966,2003,,,2003.0,1,33,34
RecordLabel,Center Sound,,,,,979,,,,,0,42,42
Song,Wrinkled Rebellion,True,2008,Alternative Rock,True,1018,,,,2008.0,2,18,20
RecordLabel,Tinsmith Records,,,,,1023,,,,,0,31,31
Song,Whispers from the Gold Rush,True,2029,Dream Pop,False,1024,,,,2029.0,6,8,14
Song,Forty-Niners' Lament,True,2028,Dream Pop,False,1033,,,,2028.0,3,17,20
RecordLabel,Guyonne Grooves,,,,,1049,,,,,0,16,16
Person,Jing Cui,,,,,1074,,,,,24,0,24
Album,Trapped in the Border,,2029,Post-Apocalyptic Folk,True,1080,2026,,,2029.0,7,8,15
Person,Lupe Miró,,,,,1085,,,,,14,0,14
Person,Guiying Bai,,,,,1098,,,,,29,0,29
Song,Party of One,True,2018,Lo-Fi Electronica,True,1140,,,,2018.0,16,5,21
Song,Unattached,True,2020,Dream Pop,False,1145,,,,2020.0,3,11,14
Song,Loving Myself First,True,2022,Synthwave,True,1156,,,,2022.0,9,5,14
RecordLabel,Solstice Sounds,,,,,1194,,,,,0,22,22
Album,The Mill Town Monarch,,2026,Dream Pop,True,1195,2026,,,2026.0,2,15,17
RecordLabel,Péronne Pulse,,,,,1203,,,,,0,25,25
Person,Yan Cai,,,,,1219,,,,,14,0,14
Song,Whispers Between Wooden Stalls,True,2013,Doom Metal,True,1236,2013,,,2013.0,4,10,14
Person,Yan Qin,,,,,1238,,,,,16,0,16
Album,Stable Secrets at Dawn,,2009,Indie Rock,True,1244,,,2009,2009.0,1,13,14
Person,Eugenia Mitschke,,,,,1251,,,,,15,0,15
RecordLabel,Estival Sound,,,,,1264,,,,,0,15,15
Person,Gang Shen,,,,,1275,,,,,15,0,15
Person,Yong Dong,,,,,1276,,,,,15,0,15
Person,Urszula Stochmal,,,,,1294,,,,,31,0,31
Person,Rüdiger Graf,,,,,1304,,,,,18,0,18
RecordLabel,Green Fuel Records,,,,,1319,,,,,0,21,21
Song,Sunlight of Serenity,False,1996,Jazz Surf Rock,True,1326,,,,1996.0,3,19,22
Person,Fang Zou,,,,,1327,,,,,16,0,16
RecordLabel,Valenciano Tracks,,,,,1331,,,,,0,28,28
Song,Blossoming Smiles,True,2010,Jazz Surf Rock,True,1333,,,,2010.0,5,10,15
Person,Ming Long,,,,,1335,,,,,14,0,14
Person,Xiuying Huang,,,,,1346,,,,,15,0,15
Album,Diabolic Dance,,2004,Blues Rock,True,1440,2004,,2004,2004.0,5,9,14
Song,Waterlogged Memories,False,2015,Lo-Fi Electronica,True,1466,2008,,,2015.0,7,7,14
RecordLabel,Orb Octave,,,,,1469,,,,,0,15,15
RecordLabel,Nautilus Records,,,,,1475,,,,,0,19,19
RecordLabel,Altopiano Records,,,,,1481,,,,,0,54,54
Song,Radiant Beyond Compare,True,2004,Doom Metal,True,1495,1997,,2004,2004.0,2,12,14
Person,Min Lei,,,,,1519,,,,,16,0,16
Person,Deborah Lucas,,,,,1530,,,,,21,0,21
RecordLabel,World Pulse Records,,,,,1532,,,,,0,21,21
Person,Chad Hampton,,,,,1535,,,,,14,0,14
Song,Echoes of Ancient Modes,True,2004,Doom Metal,False,1557,2004,,,2004.0,2,13,15
RecordLabel,Plenary Sound,,,,,1570,,,,,0,14,14
Song,Twilight's Harmonic Descent,False,2026,Indie Rock,True,1571,,,,2026.0,9,13,22
RecordLabel,Meridian Sound,,,,,1595,,,,,0,20,20
Song,Philosophical Brew,False,2015,Indie Rock,True,1611,2015,,,2015.0,2,26,28
Person,Daniel Lyons,,,,,1650,,,,,17,0,17
Song,Guardian of the Mountain Winds,True,2029,Dream Pop,True,1715,2023,,,2029.0,9,10,19
Person,Kimberly Snyder,,,,,1716,, Slate,,,42,0,42
Person,Joshua Herring,,,,,1718,,,,,20,0,20
Person,Gerald Mullins,,,,,1719,,,,,18,0,18
RecordLabel,Atco Axis,,,,,1722,,,,,0,29,29
RecordLabel,Urutone Records,,,,,1740,,,,,0,15,15
Song,Shadows of the Imperial Throne,False,2023,Dream Pop,True,1748,,,,2023.0,2,12,14
Person,Michael Boyd,,,,,1758,,,,,15,0,15
Song,Heavy Eyelids of Twilight,False,2010,Southern Gothic Rock,True,1772,,,,2010.0,7,8,15
Song,Dreaming Before Dawn,True,2017,Indie Folk,True,1779,,,2017,2017.0,3,11,14
Person,Ping Zeng,,,,,1785,,,,,14,0,14
RecordLabel,Ornica Sound,,,,,1795,,,,,0,14,14
Song,Scandinavian Dreams,True,2028,Americana,True,1797,,,,2028.0,9,9,18
Album,Midsummer Memories,,2013,Indie Folk,True,1804,,,,2013.0,10,4,14
Song,Trouble's Favorite Son,True,2029,Post-Apocalyptic Folk,True,1830,2029,,,2029.0,5,9,14
Song,Ripples and Whispers,True,2010,Indie Folk,True,1841,,,,2010.0,2,148,150
RecordLabel,Orge Resonance,,,,,1852,,,,,0,22,22
Song,Reflections on the Water's Rim,True,2011,Avant-Garde Folk,True,1853,,,,2011.0,3,13,16
Song,Melancholy's Strings,False,2006,Indie Rock,True,1857,2006,,,2006.0,1,17,18
RecordLabel,Fassa Sounds,,,,,1879,,,,,0,21,21
Album,Nowhere's Child,,2010,Doom Metal,False,1884,2010,,,2010.0,2,12,14
RecordLabel,Sound Spectrum,,,,,1892,,,,,0,33,33
RecordLabel,Sonic Mosaic,,,,,1893,,,,,0,41,41
Song,Echoes of Mirth,False,2021,Synthwave,True,1907,2021,,2021,2021.0,5,9,14
Song,Fragments of Joy,True,2023,Synthwave,True,1915,2023,,2023,2023.0,10,12,22
Person,Shaan Sanghvi,,,,,1932,,,,,15,0,15
Album,Throne of Mercy,,2020,Lo-Fi Electronica,True,1943,2020,,,2020.0,9,7,16
Person,Yang Wan,,,,,1952,,,,,30,0,30
Song,Prayers for the Crown,False,1985,Emo/Pop Punk,True,1955,,,,1985.0,2,17,19
Song,Twilight in the Woodland Clearing,True,2029,Desert Rock,True,1984,,,2029,2029.0,7,7,14
Person,Filippo Pelli,,,,,2006,,,,,18,0,18
RecordLabel,Saignelegier Records,,,,,2008,,,,,0,19,19
Person,Qiang Tang,,,,,2023,,,,,25,0,25
Song,Mechanical Memoirs,True,1996,Southern Gothic Rock,True,2068,1996,,,1996.0,3,11,14
Person,Andrew Williams,,,,,2069,,,,,26,0,26
Person,Jay Walters,,,,,2070,,,,,47,0,47
RecordLabel,Viterbo Sounds,,,,,2071,,,,,0,14,14
RecordLabel,Thyrnau Sound,,,,,2072,,,,,0,45,45
RecordLabel,Boğaz Ses,,,,,2077,,,,,0,18,18
RecordLabel,Gabriel Groove,,,,,2081,,,,,0,18,18
RecordLabel,Akademia Sound,,,,,2086,,,,,0,48,48
Person,Catherine Clay,,,,,2110,,,,,32,0,32
RecordLabel,Chancel Resonance,,,,,2111,,,,,0,18,18
RecordLabel,Miyagino Sound,,,,,2117,,,,,0,26,26
Song,Positive Pulse,True,2029,Dream Pop,True,2130,,,,2029.0,3,11,14
RecordLabel,Silverlight Recordings,,,,,2160,,,,,0,17,17
Song,Journey's Calling,False,2007,Lo-Fi Electronica,True,2167,2007,,,2007.0,3,18,21
RecordLabel,Stillwater Sound,,,,,2196,,,,,0,14,14
RecordLabel,Sinewsound,,,,,2204,,,,,0,17,17
Person,Brian Wright,,,,,2207,,,,,22,0,22
RecordLabel,Midnight Compass,,,,,2220,,,,,0,14,14
Song,Love's Courageous Path,True,2009,Synthwave,True,2238,,,,2009.0,4,11,15
Song,Inherited Arguments,True,2029,Symphonic Metal,True,2260,,,,2029.0,7,8,15
Song,Satellite Heart,False,2004,Lo-Fi Electronica,True,2277,,,,2004.0,6,10,16
Song,Papercut Promise,True,2005,Dream Pop,True,2279,2005,,,2005.0,2,15,17
Person,Michelotto Comisso,,,,,2281,,,,,16,0,16
RecordLabel,Lombardone Sound,,,,,2322,,,,,0,30,30
Person,Alla Lorch,,,,,2345,,,,,14,0,14
Person,Daniël Reijers,,,,,2363,,,,,17,0,17
Song,Forgotten Stars,True,2023,Dream Pop,True,2385,,,,2023.0,3,11,14
RecordLabel,Vertical Horizon,,,,,2453,,,,,0,16,16
Song,Frozen Flame's Last Flicker,False,2030,Synthwave,True,2454,2027,,2030,2030.0,6,9,15
Album,Embers of a Forgotten Child,,1997,Lo-Fi Electronica,True,2467,,,,1997.0,2,17,19
RecordLabel,Luminous Soundscape Records,,,,,2478,,,,,0,15,15
RecordLabel,Maritime Archives,,,,,2485,,,,,0,17,17
Song,Frozen Moment,True,1981,Dream Pop,True,2510,,,,1981.0,1,25,26
Person,Angelika Osojca,,,,,2538,,,,,36,0,36
Song,Ballad of the Noble Wanderer,False,2022,Post-Apocalyptic Folk,True,2567,,,,2022.0,7,14,21
Person,Lei Yuan,,,,,2589,,,,,20,0,20
Song,Ripples of Feathered Whispers,True,1984,Indie Pop,True,2595,,,,1984.0,2,13,15
Album,Stoop Stories,,2026,Space Rock,True,2633,,,,2026.0,7,7,14
Person,Matthew Hancock,,,,,2659,,Lunar Tapestry,,,30,0,30
RecordLabel,Pulse Export Records,,,,,2661,,,,,0,31,31
Album,Lift Me Higher,,2012,Southern Gothic Rock,True,2666,,,,2012.0,11,5,16
Person,Ping Tian,,,,,2668,,,,,37,0,37
Album,Emotional Overture,,2018,Dream Pop,True,2709,,,,2018.0,5,9,14
RecordLabel,Verdra,,,,,2723,,,,,0,14,14
RecordLabel,Paw Print Records,,,,,2760,,,,,0,18,18
Song,Twilight Tapas,True,2010,Lo-Fi Electronica,True,2848,,,2010,2010.0,2,14,16
RecordLabel,Sole Sonic,,,,,2914,,,,,0,24,24
Song,Sacred Invocation,False,1987,Southern Gothic Rock,True,2927,,,,1987.0,4,14,18
Song,Suraj Ke Raaz Mein,True,2023,Dream Pop,True,2944,2023,,,2023.0,2,13,15
Album,Whispers of the Heart's Embrace,,2020,Post-Apocalyptic Folk,True,2963,,,,2020.0,2,13,15
Song,Destiny's Call,True,2017,Oceanus Folk,False,3025,2017,,,2017.0,3,46,49
Song,Longing on the Line,False,2023,Jazz Surf Rock,True,3094,,,,2023.0,6,8,14
Person,Maik Mude,,,,,3126,,,,,24,0,24
RecordLabel,Tokyo Pulse,,,,,3127,,,,,0,22,22
Person,Chelsea Martinez,,,,,3135,,,,,19,0,19
Song,Smoke and Mirrors,True,2015,Alternative Rock,True,3151,,,,2015.0,10,4,14
Song,Intertwined Free Fall,True,2029,Dream Pop,True,3174,,,,2029.0,6,12,18
Song,Abundance Overflowing,False,2017,Oceanus Folk,True,3194,2017,,,2017.0,2,18,20
Song,Promised Land Calling,True,2015,Psychedelic Rock,True,3252,,,2031,2015.0,2,18,20
Song,Lecture Hall Nights,True,2014,Dream Pop,True,3310,,,2014,2014.0,4,13,17
Person,Lucrezia Zamengo,,,,,3336,,,,,14,0,14
Song,Pulse Zero,True,2002,Indie Pop,True,3349,2002,,,2002.0,3,13,16
Song,Unbreakable Resolve,True,1992,Southern Gothic Rock,True,3350,,,,1992.0,2,12,14
Person,Marcus Spence,,,,,3352,,,,,20,0,20
Song,Rising From the Shadows,False,2022,Synthwave,True,3362,,,,2022.0,38,20,58
Song,Rapid Heartbeat,True,2013,Desert Rock,True,3376,,,,2013.0,3,15,18
Song,Echoes Out of Time,True,2016,Lo-Fi Electronica,False,3387,2013,,,2016.0,5,9,14
Song,Signatures and Sorrow,True,2024,Dream Pop,True,3402,,,,2024.0,2,13,15
Song,Splitting the Difference,True,1987,Southern Gothic Rock,True,3407,1987,,,1987.0,2,13,15
Song,Justice Rides Alone,True,2029,Synthwave,True,3438,2026,,,2029.0,9,5,14
Album,"Empty Promises, Hollow Feelings",,2023,Psychedelic Rock,True,3451,,,,2023.0,2,16,18
Song,Magnetic Desire,True,2023,Indie Folk,True,3457,,,,2023.0,4,10,14
Album,Breathless Longing,,2016,Doom Metal,True,3467,,,2016,2016.0,2,15,17
Song,Beyond Our Limitations,True,2007,Oceanus Folk,True,3501,,,,2007.0,3,31,34
Person,Zacharie Martins,,,,,3504,,,,,14,0,14
Album,Dancing in the Streets of Seville,,1994,Synthwave,True,3508,1994,,,1994.0,2,12,14
Song,Andalusian Rhythm,True,2013,Indie Pop,True,3512,,,,2013.0,5,13,18
Song,Aerial Conquistadors,True,2026,Oceanus Folk,True,3520,,,,2026.0,3,13,16
RecordLabel,Germain Grooves,,,,,3539,,,,,0,14,14
Song,Legacy in WaitingCoins Over Vows,False,2015,Avant-Garde Folk,True,3596,2015,,,2015.0,6,12,18
Song,Fever's Whisper,False,2017,Indie Folk,True,3616,,,,2017.0,3,12,15
Person,David Wilkerson,,,,,3662,,,,,14,0,14
Song,Distant Farewell,True,2026,Doom Metal,True,3688,,,,2026.0,4,14,18
Song,Whispers at Sunset,True,2022,Darkwave,True,3697,2016,,,2022.0,4,12,16
Person,David Wilcox,,,,,3742,,,,,14,0,14
RecordLabel,Jeweler's Harmony,,,,,3755,,,,,0,14,14
Album,Fragments of Flight,,2025,Oceanus Folk,True,3828,,,,2025.0,3,14,17
Album,Palabras del Corazón,,2022,Darkwave,True,3879,2022,,,2022.0,3,13,16
Song,Susurros de Pasión,True,2004,Synthwave,True,3881,,,2004,2004.0,3,11,14
Song,Acceptance Blues,True,2013,Indie Folk,True,3923,2013,,,2013.0,4,12,16
Song,The Slow Fade,True,2013,Space Rock,True,3939,,,,2013.0,3,12,15
Song,Eternal Light Descends,True,2023,Oceanus Folk,True,3956,,,,2023.0,3,11,14
Song,Divine Awakening,True,2018,Synthwave,True,3966,2018,,,2018.0,3,14,17
Song,Instrument Failure,True,2021,Synthwave,False,3991,2014,,,2021.0,3,13,16
Song,Whispers in the Olive Grove,True,2007,Indie Rock,False,4006,,,,2007.0,2,17,19
Song,Jerusalem's Gentle Promise,True,2024,Psychedelic Rock,True,4014,,,2024,2024.0,5,9,14
Song,Bananal's Gentle Whispers,True,2020,Psychedelic Rock,True,4038,2020,,,2020.0,6,16,22
Album,Sweet Katharina's Lament,,2018,Jazz Surf Rock,True,4046,,,2018,2018.0,10,37,47
Album,Echoes from Vienna's Symphonic Heart,,2020,Speed Metal,True,4126,2020,,,2020.0,4,12,16
Song,Moonlight and Melodic Defiance,True,2026,Synthwave,True,4140,,,,2026.0,4,14,18
Song,Debt's Symphony,True,2022,Psychedelic Rock,True,4155,,,,2022.0,3,13,16
Album,The Interest Rises,,2017,Southern Gothic Rock,True,4167,,,2017,2017.0,16,6,22
Song,Ore and Echoes,False,2026,Doom Metal,True,4194,,,,2026.0,5,10,15
Album,Unsilenced Voice,,2029,Desert Rock,True,4253,,,,2029.0,5,10,15
Song,Celestial Echoes,False,2013,Dream Pop,True,4283,,,,2013.0,3,13,16
Person,Navya Sastry,,,,,4285,,,,,15,0,15
Song,Último intento (Last attempt),True,2030,Desert Rock,False,4299,,,,2030.0,8,7,15
Song,Shadows in the Basement,True,2023,Darkwave,True,4381,2023,,2023,2023.0,2,12,14
Song,Whispers from Below,True,2029,Oceanus Folk,True,4393,,,2029,2029.0,4,10,14
Person,Yuta Tanaka,,,,,4412,,,,,20,0,20
RecordLabel,Hollow & Crest,,,,,4429,,,,,0,14,14
Song,Mandarin Memories,True,2020,Indie Rock,True,4436,2020,,,2020.0,2,16,18
Song,Suspended Between Worlds,True,2018,Space Rock,True,4492,2018,,,2018.0,5,9,14
Song,Echoes of Endurance,True,2007,Indie Folk,True,4518,2007,,,2007.0,2,15,17
Song,Hustler's Birthright,True,2023,Psychedelic Rock,True,4541,2023,,,2023.0,6,24,30
Song,Wellness Manifesto,True,1983,Speed Metal,True,4583,,,,1983.0,2,21,23
Song,Spinning Skirts of Bavaria,True,2028,Dream Pop,True,4607,,,,2028.0,7,8,15
Song,Brass and Brass: A Polka Memoir,True,1997,Avant-Garde Folk,True,4609,,,1997,1997.0,2,15,17
Song,Whispers of the Wild Meridian,False,2020,Dream Pop,True,4626,2020,,,2020.0,6,10,16
Song,Wha?,True,2020,Desert Rock,True,4675,,,,2020.0,4,10,14
Song,Memories in Sepia,False,2028,Jazz Surf Rock,True,4704,2022,,,2028.0,4,11,15
Album,Dusk's Embrace,,2020,Desert Rock,True,4728,,,,2020.0,3,12,15
Album,Breathe Me In,,1997,Emo/Pop Punk,True,4749,1997,,,1997.0,2,16,18
Song,Sovereign Heart,True,2007,Synthwave,True,4770,2007,,,2007.0,2,18,20
Song,Title of Power,True,2029,Lo-Fi Electronica,True,4774,,,,2029.0,11,4,15
Song,September's Last Embrace,False,2003,Lo-Fi Electronica,True,4781,,,,2003.0,3,26,29
Song,Step Into Your Power,True,2026,Dream Pop,True,4805,,,,2026.0,3,13,16
Song,Single-Handed Horizon,True,2028,Dream Pop,True,4821,2028,,,2028.0,20,4,24
Album,Keys to Heaven's Threshold,,1990,Synthwave,True,4849,,,,1990.0,2,20,22
Song,Echoes from the Vatican Walls,True,2004,Southern Gothic Rock,True,4854,,,,2004.0,5,10,15
Song,The Gentle Pulse of Longing,True,2004,Doom Metal,True,4884,,,,2004.0,2,12,14
Album,Priceless Heart,,2000,Southern Gothic Rock,False,4937,,,,2000.0,4,10,14
Song,Rhythm of Rio's Soul,True,2024,Dream Pop,True,4973,,,,2024.0,4,10,14
Song,Samba's Heartbeat,False,2024,Space Rock,True,4981,2024,,,2024.0,3,11,14
Song,Dancing Through the Drums,False,2026,Indie Folk,True,4985,,,,2026.0,3,11,14
Song,Harmonic Septet in Amber,True,2021,Synthwave,True,5004,,,,2021.0,4,10,14
Song,Holes Where Hope Should Be,True,2007,Alternative Rock,True,5028,,,,2007.0,4,10,14
Song,Landsbyens Drøm (Village's Dream),True,2026,Desert Rock,True,5029,,,,2026.0,6,11,17
Album,Skogens Fortelling (The Forest's Tale),,2028,Space Rock,True,5035,2028,,,2028.0,19,4,23
Person,Min He,,,,,5038,,,,,17,0,17
Song,Whispers of Summer Wings,True,1997,Emo/Pop Punk,True,5051,,,,1997.0,3,13,16
Song,Echoes of a Lonely Gaze,False,2026,Lo-Fi Electronica,True,5088,2026,,2026,2026.0,13,6,19
Song,Sylvan Bride's Lament,False,2010,Oceanus Folk,True,5100,2010,,,2010.0,4,12,16
Song,Wilderness Vows at Twilight,True,1991,Indie Pop,True,5110,1991,,,1991.0,2,28,30
Song,Gravity of Collapse,True,2026,Indie Rock,True,5113,,,,2026.0,7,9,16
Song,Fragments of Yesterday,True,2011,Psychedelic Rock,False,5119,,,,2011.0,3,12,15
Song,Waste Management Waltz,False,2026,Darkwave,True,5146,,,2026,2026.0,6,9,15
Song,Dancing Through Numbered Paths,True,2018,Dream Pop,True,5181,,,,2018.0,4,11,15
Person,Samantha Bullock,,,,,5213,,,,,15,0,15
Song,Whispers of Ancient Branches,True,2009,Emo/Pop Punk,True,5232,,,,2009.0,6,8,14
Album,Feathers and Sequins,,2004,Doom Metal,True,5295,,,,2004.0,1,20,21
Song,Whispers Between Verses,True,2024,Indie Rock,True,5310,2024,,,2024.0,4,15,19
Album,Miles Between Us and Memory Lane,,2026,Psychedelic Rock,True,5396,2026,,,2026.0,3,11,14
Song,Walborg's Lament,True,2028,Darkwave,True,5415,2028,,2028,2028.0,5,12,17
Song,Memories of the Nordic Maiden,True,2013,Doom Metal,True,5425,2013,,2013,2013.0,3,18,21
Song,Sickle's Serenade,True,2004,Synthwave,True,5432,,,,2004.0,2,15,17
Song,Quarantine Whispers,False,1999,Southern Gothic Rock,True,5455,,,1999,1999.0,3,17,20
Song,The Covenant We Share,True,2023,Indie Folk,True,5492,,,,2023.0,7,17,24
