party,frequencia_absoluta,frequencia_relativa_percentual
agent:person:michael_capstan,54,0.02
agent:person:david_breakwater,54,0.02
agent:person:henry_sail,54,0.02
agent:person:aria_towline,53,0.02
agent:person:sebastian_cutter,53,0.02
agent:person:alexander_jetty,53,0.02
agent:person:audrey_portside,53,0.02
agent:person:james_stern,53,0.02
agent:person:joseph_buoy,52,0.02
agent:person:john_windward,52,0.02
agent:person:noah_mariner,51,0.02
agent:person:scarlett_wharf,51,0.02
agent:person:emma_harbor,51,0.02
agent:person:victoria_rigging,50,0.02
agent:person:jack_helm,50,0.02
agent:person:avery_sextant,50,0.02
agent:person:grace_lifeboat,50,0.02
agent:person:william_rudder,50,0.02
agent:person:benjamin_mooring,50,0.02
agent:person:gabriel_sonar,48,0.02
agent:person:daniel_gangway,48,0.02
agent:person:lucas_compass,48,0.02
agent:person:lily_anchorline,48,0.02
agent:person:abigail_spinnaker,48,0.02
agent:person:layla_channel,47,0.02
agent:person:ava_tiller,47,0.02
agent:person:samuel_gull,47,0.02
agent:person:mia_fender,47,0.02
system:email_server,45,0.02
agent:person:anthony_reef,45,0.02
agent:person:owen_hatch,43,0.02
agent:person:isaac_mast,40,0.01
